Liter,Date,Distance
40,14030809,349.7
25,14030812,445.8
30,14030813,408.4
25,14030830,398.0
28,14030906,461.1
30,14030912,418.3
30,14030913,562.4
35,14030918,320.1
25,14031002,315.2
30,14031006,379.0
30,14031013,410.3
25,14031020,421.6
25,14031025,387.3
25,14031030,386.0
25,14031108,159.5
15,14031110,428.9
25,14031112,422.2
19.9,14031123,118.4
30,14031216,338.2
26.66,14031229,350.4
20,14031230,339.4
21.34,14040105,59.3
15,14040113,525
20,14040210,390
30,14040214,438
30,14040215,439.0
24.87,14040221,336.2
20,14040317,269.0
26,14040323,415.0
26,14040325,358.0
17.86,14040331,116.5
13,14040403,351.1
20,14040404,324
20,14040405,344.4
19.9,14040407,346.9
27,14040409,349

